subject,trial,muscle,r_lag0,r_best,lag_s
subject4,walking1,soleus_l,0.7573283711018168,0.7573283711018168,0.0
subject4,walking1,gasmed_l,0.41301947941655215,0.7708417729730475,0.09
subject4,walking1,tibant_l,-0.02954561203441431,0.08149238424464797,0.06
subject4,walking1,recfem_l,0.8106773238243823,0.8153303580777883,0.01
subject4,walking1,vasmed_l,0.8574980251040315,0.8574980251040315,0.0
subject4,walking1,vaslat_l,0.8349532652658481,0.8349532652658481,0.0
subject4,walking1,semiten_l,0.8470797820071714,0.8470797820071714,0.0
subject4,walking1,bflh_l,0.909431848688944,0.909431848688944,0.0
subject4,walking1,glmed1_l,0.3481066561400008,0.6073315832102757,0.07
subject4,walking1,soleus_r,0.8045164677703097,0.8254979541041156,0.02
subject4,walking1,gasmed_r,0.6227333385398655,0.6227333385398655,0.0
subject4,walking1,vasmed_r,0.39236054626478434,0.4545808579138786,0.06
subject4,walking1,vaslat_r,0.3847675017267938,0.46651901256623707,0.08
subject4,walking1,semiten_r,0.6749338422121384,0.7317965088104318,0.02
subject4,walking1,bflh_r,0.6793112618328663,0.8682603178077182,0.05
subject4,walking1,glmed1_r,0.5043042559919475,0.5113615152627333,0.01
subject4,walking2,soleus_l,0.7392453761996232,0.7392453761996232,0.0
subject4,walking2,gasmed_l,0.6690347594129251,0.7585784978702703,0.05
subject4,walking2,tibant_l,-0.3732883789318719,0.05441210701987064,0.12
subject4,walking2,recfem_l,0.8684549546432772,0.8684549546432772,0.0
subject4,walking2,vasmed_l,0.8985708961934141,0.8985708961934141,0.0
subject4,walking2,vaslat_l,0.9210907822321628,0.9210907822321628,0.0
subject4,walking2,semiten_l,0.8933042706148048,0.9050184135576013,0.01
subject4,walking2,bflh_l,0.8236125317595941,0.8236125317595941,0.0
subject4,walking2,glmed1_l,0.38813428211994594,0.6185352654253525,0.07
subject4,walking2,soleus_r,0.7703756203497646,0.7896875568078987,0.02
subject4,walking2,gasmed_r,0.243936617035321,0.243936617035321,0.0
subject4,walking2,vasmed_r,0.15918263689349274,0.15918263689349274,0.0
subject4,walking2,vaslat_r,0.13179169931280946,0.13179169931280946,0.0
subject4,walking2,semiten_r,0.7642585099162247,0.8508856801257596,0.04
subject4,walking2,bflh_r,0.7141316367269247,0.8188717133374509,0.07
subject4,walking2,glmed1_r,0.18978124620332593,0.5288159835073453,0.11
subject4,walking4,soleus_l,0.6700631162327635,0.6814891883462671,0.02
subject4,walking4,gasmed_l,0.3635048356936445,0.8314952266418405,0.11
subject4,walking4,tibant_l,0.19393587586634844,0.5488526228122479,0.06
subject4,walking4,recfem_l,0.8060084233800754,0.8876748674213122,0.05
subject4,walking4,vasmed_l,0.8595219437250076,0.8595219437250076,0.0
subject4,walking4,vaslat_l,0.8568723311327276,0.8568723311327276,0.0
subject4,walking4,semiten_l,0.8649606359321154,0.8881832322871294,0.02
subject4,walking4,bflh_l,0.7519340842577299,0.7519340842577299,0.0
subject4,walking4,glmed1_l,0.44998405964882,0.6608081648640898,0.06
subject4,walking4,soleus_r,0.8466229967677229,0.8842335192179436,0.03
subject4,walking4,gasmed_r,0.5932016428228634,0.5932016428228634,0.0
subject4,walking4,vasmed_r,0.4669857243983079,0.6376720137684647,0.05
subject4,walking4,vaslat_r,0.6677085431529424,0.7064710845764145,0.02
subject4,walking4,semiten_r,0.5655559685769441,0.6118524158209596,0.06
subject4,walking4,bflh_r,0.6902849316314419,0.6902849316314419,0.0
subject4,walking4,glmed1_r,0.3992016583487381,0.5522034352844027,0.03
subject4,walkingTS1,soleus_l,0.749907432586925,0.7713840435008541,0.02
subject4,walkingTS1,gasmed_l,0.29306382518127244,0.7132813284510222,0.12
subject4,walkingTS1,tibant_l,-0.27312749434591893,0.08711988603293436,0.12
subject4,walkingTS1,recfem_l,-0.26921789929084233,0.04787402190098449,0.12
subject4,walkingTS1,vasmed_l,0.8899627702894686,0.8899627702894686,0.0
subject4,walkingTS1,vaslat_l,0.7552801523100532,0.7597651444099996,0.02
subject4,walkingTS1,semiten_l,0.5018202562631592,0.5018202562631592,0.0
